timestamp,download,upload,ping,server_lat,server_lon,server_name,server_country,server_sponsor,server_id,server_latency,share_url,client_lat,client_lon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-06T18:08:00.079298Z,269598100.5239388,100800647.97503859,24.59,59.9494,10.7564,Oslo,Norway,Sikt - Uninett,64688,24.59,http://www.speedtest.net/result/17459854670.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-14,-31,9,7,10,-,"+QENG: ""NR5G-NSA""",242,02,376,-81,30,-11,647424,78,12,1
2025-03-06T18:13:28.437965Z,204210459.30128142,79165224.95868865,39.913,59.4194,17.9139,Stockholm,Sweden,PVDataNet,38854,39.913,http://www.speedtest.net/result/17459875468.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-14,-34,11,8,-270,-,"+QENG: ""NR5G-NSA""",242,02,376,-80,29,-11,647424,78,12,1
2025-03-06T18:18:56.324973Z,181824663.74554342,91955647.75478937,33.588,59.3294,18.0686,Stockholm,Sweden,Bahnhof AB,34024,33.588,http://www.speedtest.net/result/17459895762.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-13,-32,12,10,-330,-,"+QENG: ""NR5G-NSA""",242,02,376,-81,29,-11,647424,78,12,1
2025-03-06T18:24:23.926655Z,315115558.2146616,89621423.21787558,27.591,59.9494,10.7564,Oslo,Norway,Iver Norge AS,18316,27.591,http://www.speedtest.net/result/17459915712.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-66,-13,-32,10,10,-250,-,"+QENG: ""NR5G-NSA""",242,02,376,-80,30,-11,647424,78,12,1
2025-03-06T18:29:50.883123Z,241362086.15571988,95017437.27949841,20.588,59.9494,10.7564,Oslo,Norway,NextGenTel AS,8018,20.588,http://www.speedtest.net/result/17459935565.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-14,-34,11,10,60,-,"+QENG: ""NR5G-NSA""",242,02,376,-81,30,-11,647424,78,12,1
2025-03-06T18:35:16.818680Z,209933940.0238225,98567100.92438619,23.93,59.9494,10.7564,Oslo,Norway,NextGenTel AS,8018,23.93,http://www.speedtest.net/result/17459955125.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-14,-31,9,4,20,-,"+QENG: ""NR5G-NSA""",242,02,376,-80,30,-11,647424,78,12,1
2025-03-06T18:40:47.773388Z,168690807.7426626,90503889.66957408,32.261,59.9494,10.7564,Oslo,Norway,Iver Norge AS,18316,32.261,http://www.speedtest.net/result/17459974825.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-15,-32,10,3,-280,-,"+QENG: ""NR5G-NSA""",242,02,376,-80,30,-11,647424,78,12,1
2025-03-06T18:46:14.746202Z,225187193.88646197,89871150.4866249,30.273,59.8848,11.5694,Bjørkelangen,Norway,VEV,56503,30.273,http://www.speedtest.net/result/17459995004.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-13,-32,13,12,-40,-,"+QENG: ""NR5G-NSA""",242,02,376,-80,30,-11,647424,78,12,1
2025-03-06T18:51:41.288840Z,260510734.92025283,49483428.782532685,29.933,59.9494,10.7564,Oslo,Norway,Iver Norge AS,18316,29.933,http://www.speedtest.net/result/17460014419.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-14,-31,10,5,-60,-,"+QENG: ""NR5G-NSA""",242,02,376,-80,30,-11,647424,78,12,1
2025-03-06T18:57:07.732491Z,76509052.37142506,85416541.54965882,34.403,59.9494,10.7564,Oslo,Norway,Telenor Norge AS,12919,34.403,http://www.speedtest.net/result/17460033742.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-14,-32,9,9,-300,-,"+QENG: ""NR5G-NSA""",242,02,376,-80,29,-11,647424,78,12,1
2025-03-06T19:02:35.415041Z,198976653.01138428,97145176.5536204,28.435,59.9494,10.7564,Oslo,Norway,Telenor Norge AS,12919,28.435,http://www.speedtest.net/result/17460053789.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-13,-31,9,8,-320,-,"+QENG: ""NR5G-NSA""",242,02,376,-79,30,-11,647424,78,12,1
2025-03-06T19:08:01.900863Z,230265456.64488304,61388776.33485622,23.592,59.9494,10.7564,Oslo,Norway,Sikt - Uninett,64688,23.592,http://www.speedtest.net/result/17460072880.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-68,-14,-36,10,9,-120,-,"+QENG: ""NR5G-NSA""",242,02,376,-80,30,-11,647424,78,12,1
2025-03-06T19:13:28.509806Z,183392232.08709967,32985895.413353212,30.262,59.9494,10.7564,Oslo,Norway,Sikt - Uninett,64688,30.262,http://www.speedtest.net/result/17460092642.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-68,-15,-31,8,3,140,-,"+QENG: ""NR5G-NSA""",242,02,376,-80,30,-11,647424,78,12,1
2025-03-06T19:18:55.213217Z,246062260.78149322,70677420.94066697,24.263,59.8848,11.5694,Bjørkelangen,Norway,VEV,56503,24.263,http://www.speedtest.net/result/17460111655.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-14,-32,13,10,-340,-,"+QENG: ""NR5G-NSA""",242,02,376,-79,30,-11,647424,78,12,1
